Country,Literacy (%),GDP (USD per capita),Punctuation
Norway,100.0,37800.0,99.99999999999999
United States,97.0,37800.0,97.0
Bermuda,98.0,36000.0,96.41907838700733
Cayman Islands,98.0,35000.0,95.5179127816203
Switzerland,99.0,32700.0,94.33087122634922
Denmark,100.0,31100.0,93.70358274392612
Iceland,99.9,30900.0,93.40878320528194
San Marino,96.0,34600.0,93.2107493375415
Australia,100.0,29000.0,91.54516238057481
Austria,98.0,30000.0,90.73382663367796
Ireland,98.0,29600.0,90.32875951358113
Netherlands,99.0,28600.0,90.21109180616067
Finland,100.0,27400.0,89.82962520036037
Belgium,98.0,29100.0,89.81726066904315
Japan,99.0,28200.0,89.78855122382387
Canada,97.0,29800.0,89.6079528443296
United Kingdom,99.0,27700.0,89.25471844474252
France,99.0,27600.0,89.14718253525928
Germany,99.0,27600.0,89.14718253525928
Monaco,99.0,27000.0,88.49644997456018
Sweden,99.0,26800.0,88.27739845996881
Italy,98.6,26700.0,87.81123167533134
Aruba,97.0,28000.0,87.76616960323531
Liechtenstein,100.0,25000.0,87.12632642911838
Hong Kong,93.5,28800.0,85.39750325410702
New Zealand,99.0,21600.0,82.1528268032581
Taiwan,96.1,23400.0,81.90267257955625
Spain,97.9,22000.0,81.73843510087563
Guam,99.0,21000.0,81.38499845290552
Andorra,100.0,19000.0,79.50978889500188
Slovenia,99.7,19000.0,79.27125952831688
Singapore,92.5,23700.0,79.16998842853093
Greece,97.5,20000.0,78.85889385408406
Cyprus,97.6,19200.0,77.87289027392661
Israel,95.4,19800.0,76.90233115380973
Korea. South,97.9,17800.0,76.1655810019338
French Polynesia,98.0,17500.0,75.81261761567538
Macau,94.5,19400.0,75.66036844815387
Czech Republic,99.9,15700.0,74.53634724534601
Brunei,93.9,18600.0,74.13204381032175
British Virgin Is.,97.8,16000.0,73.43136180492311
Portugal,93.3,18000.0,72.85765890226017
Bahamas. The,95.6,16700.0,72.8114113566361
Barbados,97.4,15700.0,72.67107329025728
Malta,92.8,17700.0,72.06235737026682
Puerto Rico,94.1,16800.0,71.81174014951236
Hungary,99.4,13900.0,71.21323548837682
Martinique,97.7,14400.0,70.82470829492172
Estonia,99.8,12300.0,68.64385182258823
Qatar,82.5,21500.0,68.35487633174722
Uruguay,98.0,12800.0,68.3070399204288
Bahrain,89.1,16900.0,68.13067195535639
N. Mariana Islands,97.0,12500.0,67.07764478043802
New Caledonia,91.0,15000.0,66.87152264343601
Lithuania,99.6,11400.0,66.79290855262968
Kuwait,83.5,19000.0,66.39067372732657
Poland,99.8,11100.0,66.33472518656832
United Arab Emirates,77.9,23200.0,66.20175754170798
Netherlands Antilles,96.7,11400.0,64.84813511083625
Argentina,97.1,11200.0,64.73333333333333
Latvia,99.8,10200.0,64.4911317782626
Croatia,98.5,10600.0,64.4724616203125
Trinidad & Tobago,98.6,9500.0,62.22346380911184
Turks & Caicos Is,98.0,9600.0,62.06106443740912
Chile,96.2,9900.0,61.54926488480848
Russia,99.6,8900.0,61.502401487545384
Costa Rica,96.0,9100.0,59.72017850907597
Saint Kitts & Nevis,97.0,8800.0,59.671738605589965
Antigua & Barbuda,89.0,11000.0,58.978035393347454
Anguilla,95.0,8600.0,57.99525857387484
American Samoa,97.0,8000.0,57.80576193624471
Bulgaria,98.6,7600.0,57.76314696101649
Mauritius,85.6,11400.0,57.40434710948897
Mexico,92.2,9000.0,57.145384289028826
Palau,92.0,9000.0,57.0214246701806
South Africa,86.4,10700.0,56.72977595962078
St Pierre & Miquelon,99.0,6900.0,56.159205907496876
Romania,98.4,7000.0,56.08721105099567
Malaysia,88.7,9000.0,54.97609095918499
Belarus,99.6,6100.0,54.225722863590335
Kazakhstan,98.4,6300.0,54.15160688187189
Thailand,92.6,7400.0,53.768050874194266
Guadeloupe,90.0,8000.0,53.63421210579406
Saudi Arabia,78.8,11800.0,53.45515829904162
Oman,75.8,13100.0,53.24298196621164
Samoa,99.7,5600.0,52.75462829374317
Turkmenistan,98.0,5800.0,52.465217015082075
Ukraine,99.7,5400.0,52.11896846989862
Panama,92.6,6300.0,50.95974387460708
Colombia,92.5,6300.0,50.904711753792164
Brazil,86.4,7600.0,50.615982732574295
Fiji,93.7,5800.0,50.16317177870602
French Guiana,83.0,8300.0,50.073374106355026
Grenada,98.0,5000.0,49.932749093037046
Botswana,79.8,9000.0,49.45988792043926
Dominica,94.0,5400.0,49.139248106022755
Turkey,86.5,6700.0,48.58965048255871
Cook Islands,95.0,5000.0,48.40419554937265
Namibia,84.0,7200.0,48.3310449438422
Belize,94.1,4900.0,47.62383704224997
Reunion,88.9,5800.0,47.5934468636816
Venezuela,93.4,4800.0,46.94579400097532
Paraguay,94.0,4700.0,46.91696095778319
Guyana,98.8,4000.0,46.73185370089131
Peru,90.9,5100.0,46.62190430788446
China,90.9,5000.0,46.31517237303132
Philippines,92.6,4600.0,45.88805645595613
Dominican Republic,84.7,6000.0,45.86026506067064
Libya,82.6,6400.0,45.695781104034474
Maldives,97.2,3900.0,45.58869921782779
Iran,79.4,7000.0,45.25736338870992
Armenia,98.6,3500.0,44.6069294993763
Jordan,91.3,4300.0,44.23808608973914
Suriname,93.0,4000.0,43.988485771081905
Lebanon,87.4,4800.0,43.93000423645871
Azerbaijan,97.0,3400.0,43.4611059265212
Montserrat,97.0,3400.0,43.4611059265212
Albania,86.5,4500.0,42.55229734936803
Sri Lanka,92.3,3700.0,42.53747195460989
Tunisia,74.2,6900.0,42.09104119531584
Swaziland,81.6,4900.0,41.297610017509015
Jamaica,87.9,3900.0,41.226817502541806
Cuba,97.0,2900.0,41.21675533726363
Ecuador,92.5,3300.0,41.034496861418816
Saint Vincent and the Grenadines,96.0,2900.0,40.79184033378669
El Salvador,80.2,4800.0,40.31105651903876
Georgia,99.0,2500.0,40.03605380284268
Saint Helena,97.0,2500.0,39.22724463510849
Indonesia,87.9,3200.0,38.595938102089285
Tonga,98.5,2200.0,38.172141422532086
Algeria,70.0,6000.0,37.90104550468648
Vietnam,90.3,2500.0,36.51773392319893
Lesotho,84.8,3000.0,36.44229090007083
Serbia,93.0,2200.0,36.04070205376125
Moldova,99.1,1800.0,35.919798321528866
Equatorial Guinea,85.7,2700.0,35.55806695474354
Mongolia,97.8,1800.0,35.44860015989429
Uzbekistan,99.3,1700.0,35.313027747726224
Saint Lucia,67.0,5400.0,35.02478322450558
Bolivia,87.2,2400.0,34.787479671549185
Seychelles,58.0,7800.0,34.2738002402088
Syria,76.9,3300.0,34.11408441776332
Kyrgyzstan,97.0,1600.0,33.805014654497924
Guatemala,70.6,4100.0,33.66940073616073
Zimbabwe,90.7,1900.0,33.47299357062407
Micronesia. Fed. St.,89.0,2000.0,33.412020453160316
Gabon,63.2,5500.0,33.24099702780664
Marshall Islands,93.7,1600.0,32.65494714563357
Korea. North,99.0,1300.0,32.1947985594694
Honduras,76.2,2600.0,31.221144600481697
Burma,85.3,1800.0,30.917848605715562
Tajikistan,99.4,1000.0,29.61800379619961
Ghana,74.8,2200.0,28.987575415283242
Cameroon,79.0,1800.0,28.634349822409497
Egypt,57.7,4000.0,27.29178095689705
Nicaragua,67.5,2300.0,26.549058119005725
Cambodia,69.4,1900.0,25.612191331877735
Cape Verde,76.6,1400.0,25.53333333333333
Kenya,85.1,1000.0,25.3570636122393
India,59.5,2900.0,25.282442706878207
Sao Tome & Principe,79.3,1200.0,25.109400050441543
Papua New Guinea,64.6,2200.0,25.034724222290077
Morocco,51.7,4000.0,24.453814132956285
Laos,66.4,1700.0,23.613142421440294
Uganda,69.9,1400.0,23.300000000000004
Wallis and Futuna,50.0,3700.0,23.04305089632172
Rwanda,70.4,1300.0,22.894078975622683
Sudan,61.1,1900.0,22.549061821004745
Vanuatu,53.0,2900.0,22.52049518427807
Zambia,80.6,800.0,22.294672863106406
Congo. Repub. of the,83.8,700.0,22.17070135915585
Djibouti,67.9,1300.0,22.081079011999723
Togo,60.9,1500.0,20.772261394304405
Tanzania,78.2,600.0,19.652896632099946
Nigeria,68.0,900.0,19.5625658106028
Madagascar,68.9,800.0,19.05834938297806
Haiti,52.9,1600.0,18.43593067240145
Pakistan,45.7,2100.0,17.43781362822909
Congo. Dem. Rep.,65.5,700.0,17.329128150652846
Liberia,57.5,1000.0,17.13315108935088
Cote d'Ivoire,50.9,1400.0,16.96666666666667
Bangladesh,43.1,1900.0,15.906130351641647
Malawi,62.7,600.0,15.757501519599318
Central African Rep.,51.0,1100.0,15.686900355077777
Eritrea,58.6,700.0,15.503616940889417
Angola,42.0,1900.0,15.500173428513902
Mozambique,47.8,1200.0,15.135300408715079
Mauritania,41.7,1800.0,15.114587184740202
Nepal,45.2,1400.0,15.066666666666668
Chad,47.5,1200.0,15.040308983555779
Comoros,56.5,700.0,14.948026572700547
Gambia. The,40.1,1700.0,14.260346552707166
Senegal,40.2,1600.0,14.009913289802236
Yemen,50.2,800.0,13.88576399166181
East Timor,58.6,500.0,13.858737990244085
Iraq,40.4,1500.0,13.779956655663351
Bhutan,42.2,1300.0,13.723439385955643
Guinea,35.9,2100.0,13.698413769221538
Mali,46.4,900.0,13.348574317823086
Burundi,51.6,600.0,12.967895987421445
Benin,40.9,1100.0,12.580278912209431
Guinea-Bissau,42.4,800.0,11.728215004909575
Ethiopia,42.7,700.0,11.297004153173686
Afghanistan,36.0,700.0,9.524406311809198
Somalia,37.8,500.0,8.93959549541342
Burkina Faso,26.6,1100.0,8.181795087158212
Sierra Leone,31.4,500.0,7.426013189311676
Niger,17.6,800.0,4.868315662415296
